,place_name,place_location,place_feature,place_star,operating_time
170,느지리오름,제주특별자치도 제주시 한림읍 상명리 산 5,오름,4.2점,
171,대수산봉,제주특별자치도 서귀포시 성산읍 고성리 2039-1,오름,,
172,식산봉,제주특별자치도 서귀포시 성산읍 오조리 313,오름,,
173,왕이메오름,제주특별자치도 서귀포시 안덕면 광평리 산 79,오름,4.4점,
174,개오름,제주특별자치도 서귀포시 표선면 성읍리 2974,오름,4.1점,
175,절물오름,제주특별자치도 제주시 봉개동 산 78-1,오름,,
176,알오름,제주특별자치도 제주시 구좌읍 종달리 산 13-1,오름,,
177,세미양오름,제주특별자치도 제주시 아라일동 산 24-2 일대,오름,,
178,바굼지오름,제주특별자치도 제주시 애월읍 상귀리 332,오름,,
179,원물오름,제주특별자치도 서귀포시 안덕면 동광리 산 41,오름,,
180,높은오름,제주특별자치도 제주시 구좌읍 송당리 산 213-1,오름,4.6점,
181,오드싱오름,제주특별자치도 제주시 오등동 1554,오름,,
182,매오름,제주특별자치도 서귀포시 표선면 세화리 산 7,오름,,
183,붉은오름,제주특별자치도 서귀포시 성산읍 섭지코지로 261 ,오름,,
184,안세미오름,제주특별자치도 제주시 봉개동 산 2,오름,,
185,동검은이오름,제주특별자치도 제주시 구좌읍 종달리 산 70,오름,,
186,돝오름,제주특별자치도 제주시 구좌읍 송당리 산 3,오름,,
187,족은노꼬메오름,제주특별자치도 제주시 애월읍 유수암리 산 138,오름,,
188,월라봉,제주특별자치도 서귀포시 안덕면 감산리 1144,오름,,
189,삼무공원 배두리오름,제주특별자치도 제주시 연동,오름,,
190,당오름,제주특별자치도 제주시 구좌읍 송당리 산 199-1,오름,,
191,모슬봉,제주특별자치도 서귀포시 대정읍 상모리 3540-2,오름,,
192,세미오름,제주특별자치도 제주시 조천읍 대흘리 산 27-8,오름,3.0점,
193,민오름,제주특별자치도 제주시 봉개동 산 64 일대,오름,,
194,골체오름,제주특별자치도 제주시 조천읍 선흘리 1912,오름,4.0점,
195,바농오름,제주특별자치도 제주시 조천읍 교래리 산 108,오름,,
196,자배봉,제주특별자치도 서귀포시 남원읍 위미리 산 132-2,오름,,
197,거친오름,제주특별자치도 제주시 봉개동 산 66 일대,오름,,
198,남송이오름,제주특별자치도 서귀포시 안덕면 서광리 산 31,오름,,
199,우보악,제주특별자치도 서귀포시 색달동 912-1,오름,,
200,우진제비오름,제주특별자치도 제주시 조천읍 선흘리 산 112,오름,,
201,물찻오름,제주특별자치도 제주시 조천읍 교래리 산 137-1,오름,,
202,천아오름,제주특별자치도 제주시 애월읍 광령리 산 182-1,오름,,
203,영아리,제주특별자치도 서귀포시 안덕면 상천리 산 24,오름,,
204,사려니,제주특별자치도 서귀포시 남원읍 한남리 산 2-1,오름,,
205,제주돌문화공원,제주특별자치도 제주시 조천읍 남조로 2023 ,테마파크,,
206,스누피가든,제주특별자치도 제주시 구좌읍 금백조로 916 2층 ,테마파크,,
207,에코랜드테마파크,제주특별자치도 제주시 조천읍 번영로 1278-169 ,테마파크,,09:00 ~ 17:30
208,9.81파크,제주특별자치도 제주시 애월읍 천덕로 880-24 ,테마파크,,09:00 ~ 18:00
209,윈드1947카트테마파크,제주특별자치도 서귀포시 토평공단로 78-27 ,테마파크,,10:00 ~ 18:30
210,다이나믹메이즈 제주도성읍점,제주특별자치도 서귀포시 표선면 번영로 2644 ,테마파크,,10:00 ~ 18:00
211,루나폴,제주특별자치도 서귀포시 안덕면 일주서로 1836 ,테마파크,,19:30 ~ 24:00
212,서프라이즈테마파크,제주특별자치도 제주시 조천읍 남조로 2243 ,테마파크,,09:00 ~ 23:00
213,신화테마파크,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98 ,테마파크,,10:00 ~ 20:00
214,제주코코몽에코파크,제주특별자치도 서귀포시 남원읍 태위로 536 ,테마파크,,10:00 ~ 18:00
215,제주 유리의성 (휴관중),제주특별자치도 제주시 한경면 녹차분재로 462 ,테마파크,,
216,바운스슈퍼파크 제주센터,제주특별자치도 제주시 연사6길 61 1층 ,테마파크,,10:00 ~ 19:00
217,액티브파크,제주특별자치도 제주시 한림읍 금능남로 76 ,테마파크,,09:30 ~ 18:00
218,퍼시픽리솜 마린스테이지,제주특별자치도 서귀포시 중문관광로 154-17 ,테마파크,,
219,제주공룡랜드 (휴업중),제주특별자치도 제주시 애월읍 광령평화2길 1 ,테마파크,,09:30 ~ 18:30
220,테디베어하우스 테지움 제주점,제주특별자치도 제주시 애월읍 평화로 2159 ,테마파크,,09:00 ~ 19:00
221,오늘은카트레이싱,제주특별자치도 서귀포시 표선면 중산간동로 4776 ,테마파크,,09:30 ~ 17:30
222,세리월드,제주특별자치도 서귀포시 법환상로2번길 97-17 ,테마파크,,
223,물의도시 베니스랜드,제주특별자치도 서귀포시 성산읍 서성일로 474 ,테마파크,,09:00 ~ 18:00
224,금능석물원,제주특별자치도 제주시 한림읍 한림로 176 ,테마파크,,08:30 ~ 18:00
225,제주센트럴파크,제주특별자치도 제주시 조천읍 비자림로 606 ,테마파크,,08:30 ~ 18:00
226,신화워터파크,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 ,워터테마파크,,12:00 ~ 20:00
227,성읍랜드,제주특별자치도 서귀포시 표선면 번영로 2650 ,테마파크,,09:30 ~ 18:00
228,산방산랜드,제주특별자치도 서귀포시 안덕면 사계리 117-2,테마파크,,09:00 ~ 19:00
229,훈데르트바서파크,제주특별자치도 제주시 우도면 우도해안길 32-12 ,테마파크,,09:30 ~ 18:00
230,노루생태관찰원,제주특별자치도 제주시 명림로 520 ,테마파크시설,3.5점,09:00 ~ 18:00
231,무비랜드왁스뮤지엄 제주,제주특별자치도 서귀포시 중문관광로 205 ,테마파크,,01:00 ~ 18:00
